#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7012
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.42000 0.0021387100 0.0273226300 0.0256723200 0.9448663400 0.0000477045 0.0001668676 0.0001627723 0.0002161692 2.9214279034 0.0365195313 1.8453082615 0.0683714525
0.43000 0.0020824600 0.0263752000 0.0249634200 0.9465789200 0.0000480106 0.0001565247 0.0001354860 0.0001840762 2.8912460066 0.0394825226 1.8143700604 0.0732476183
0.44000 0.0020139600 0.0254608800 0.0242914000 0.9482337600 0.0000468589 0.0001595256 0.0001627672 0.0002054353 2.8467320936 0.0371043204 1.7424087636 0.0652082964
0.45000 0.0019621200 0.0245444100 0.0236575900 0.9498358800 0.0000480495 0.0001529838 0.0001588973 0.0002280817 2.8222106854 0.0387852692 1.7072265914 0.0727405110
0.46000 0.0019203400 0.0237099800 0.0230379600 0.9513317200 0.0000449865 0.0001500176 0.0001589618 0.0002188324 2.7986258188 0.0361983340 1.6752152752 0.0618851208
0.47000 0.0018566800 0.0229029400 0.0224413100 0.9527990700 0.0000446320 0.0001626735 0.0001436513 0.0002199918 2.7680781461 0.0373276153 1.6217690003 0.0649745021
0.48000 0.0018052500 0.0221399200 0.0218577300 0.9541971000 0.0000411001 0.0001488183 0.0001475248 0.0002017888 2.7444765485 0.0393683052 1.5997548123 0.0696434222
0.49000 0.0017494900 0.0214180000 0.0213361800 0.9554963300 0.0000403569 0.0001307333 0.0001612918 0.0002190691 2.7139072369 0.0341395355 1.5447174328 0.0755701537
0.50000 0.0017086300 0.0206795200 0.0207970400 0.9568148100 0.0000393941 0.0001556563 0.0001336240 0.0001956966 2.6934715962 0.0390728472 1.5197126215 0.0698429869
0.51000 0.0016640400 0.0200014900 0.0203043300 0.9580301400 0.0000373241 0.0001377999 0.0001514771 0.0002020546 2.6709920652 0.0394521490 1.4869020843 0.0709917095
