#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7000
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.43000 0.0007973600 0.0196606000 0.1993094100 0.7802326300 0.0000263180 0.0001474152 0.0003877837 0.0004156734 2.1974039048 0.0273944104 0.8784108961 0.0840102286
0.44000 0.0007796900 0.0190802000 0.1949447500 0.7851953600 0.0000263729 0.0001305255 0.0004132936 0.0004332508 2.1819914709 0.0299908340 0.8381148845 0.0970454090
0.45000 0.0007608400 0.0184940800 0.1905726100 0.7901724700 0.0000300023 0.0001432122 0.0004233615 0.0004416481 2.1794699708 0.0283649603 0.8407926952 0.0865689111
0.46000 0.0007458100 0.0179293200 0.1864158400 0.7949090300 0.0000247557 0.0001232055 0.0004076274 0.0004203609 2.1719218652 0.0303324741 0.8162777085 0.0895139967
0.47000 0.0007302400 0.0174036100 0.1824002500 0.7994659000 0.0000270850 0.0001329159 0.0003749293 0.0003933627 2.1619362243 0.0313554481 0.7854145990 0.1030619494
0.48000 0.0007142000 0.0168846300 0.1785625500 0.8038386200 0.0000295676 0.0001229291 0.0003857959 0.0003787725 2.1615196524 0.0296384384 0.7803899433 0.0961856979
0.49000 0.0006959900 0.0163663800 0.1748448000 0.8080928300 0.0000240561 0.0001347437 0.0003979365 0.0004226383 2.1533646093 0.0276896737 0.7565645159 0.0843398401
0.50000 0.0006882500 0.0158885300 0.1711472200 0.8122760000 0.0000242526 0.0001303205 0.0003311706 0.0003503843 2.1512219725 0.0269998418 0.7501748853 0.0863940840
0.51000 0.0006707000 0.0154285700 0.1676289600 0.8162717700 0.0000259656 0.0001139172 0.0003528954 0.0003502187 2.1394305874 0.0282173237 0.7287981682 0.0971839974
0.52000 0.0006516900 0.0150053200 0.1642496700 0.8200933200 0.0000195529 0.0001157416 0.0003954462 0.0004272007 2.1360650952 0.0295242608 0.7167778529 0.0955104823
0.53000 0.0006405100 0.0145459900 0.1608420300 0.8239714700 0.0000245852 0.0001186316 0.0003370703 0.0003494478 2.1317991350 0.0251247506 0.7034163341 0.0899280262
