#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.25
#Number of photons: N = 1000000
#Number of averages: N_avg = 10
#Number of R-values: N_R = 50
#Delta R: d_R = 0.025
#Seed: 5501
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.70000 0.0013969000 0.2274559000 0.7711472000 0.0000325831 0.0005085005 0.0005250242 4.9066934142 0.1476504870 5.0604978822 0.2576275179
0.72500 0.0013130000 0.2150248000 0.7836622000 0.0000319548 0.0003310471 0.0003218746 5.1140726971 0.1722767096 5.4205428124 0.3824313073
0.75000 0.0012563000 0.2033563000 0.7953874000 0.0000380673 0.0004321736 0.0004482460 5.3200113195 0.1479920783 5.5928524679 0.3899451587
0.77500 0.0011889000 0.1926545000 0.8061566000 0.0000274285 0.0005063197 0.0005082614 5.5551097861 0.1665675557 5.9352925036 0.3035052568
0.80000 0.0011128000 0.1826314000 0.8162558000 0.0000304259 0.0004042406 0.0004065767 5.7086884510 0.1346418377 6.0409755798 0.2507208933
0.82500 0.0010496000 0.1735910000 0.8253594000 0.0000241900 0.0002546165 0.0002617438 6.0158636798 0.2122412884 6.4612309671 0.4841443502
0.85000 0.0010132000 0.1649707000 0.8340161000 0.0000298321 0.0003911919 0.0003791876 6.2706593182 0.2548837070 6.7311575218 0.3927606553
0.87500 0.0009596000 0.1569312000 0.8421092000 0.0000254654 0.0003293741 0.0003292560 6.3414703651 0.1816093186 6.7614580808 0.3615306030
0.90000 0.0009122000 0.1494633000 0.8496245000 0.0000234274 0.0003814074 0.0003754938 6.5692992320 0.1775218692 7.2527115863 0.5045550588
0.92500 0.0008803000 0.1426991000 0.8564206000 0.0000332400 0.0003119364 0.0003066138 6.9491359316 0.1794859605 7.5950782241 0.3192268708
0.95000 0.0008104000 0.1359596000 0.8632300000 0.0000395340 0.0002835369 0.0002832992 6.9634907544 0.2041514765 7.4777408778 0.5916426799
0.97500 0.0007936000 0.1300020000 0.8692044000 0.0000279730 0.0004498770 0.0004421119 7.3731041762 0.1193801482 8.0348108164 0.3002712524
1.00000 0.0007483000 0.1242182000 0.8750335000 0.0000293335 0.0003115634 0.0003184044 7.4986418420 0.1863078570 8.1192115066 0.3628271579
1.02500 0.0007199000 0.1188822000 0.8803979000 0.0000266101 0.0002076096 0.0002191136 7.8248119915 0.2695647349 8.6532896823 0.3388592644
1.05000 0.0006954000 0.1139882000 0.8853164000 0.0000239546 0.0002493702 0.0002550596 7.9620700203 0.4720164046 8.5332233851 0.8215331866
1.07500 0.0006539000 0.1091220000 0.8902241000 0.0000188765 0.0003065866 0.0003111471 8.1612784916 0.3831308777 8.9429480341 0.6897991428
1.10000 0.0006436000 0.1045922000 0.8947642000 0.0000205491 0.0002893540 0.0002847056 8.2526373688 0.2620096516 9.1078905743 0.4588640135
1.12500 0.0006162000 0.1003364000 0.8990474000 0.0000201428 0.0001991148 0.0002042478 8.5511086571 0.3497146940 9.4383622369 0.8028028929
1.15000 0.0005804000 0.0966066000 0.9028130000 0.0000219403 0.0002960845 0.0003016017 9.0106627292 0.3567093559 10.3685890079 0.9573764912
1.17500 0.0005561000 0.0929963000 0.9064476000 0.0000220174 0.0003034150 0.0003138624 9.0741926416 0.5453968561 9.9096576154 0.8618627606
1.20000 0.0005484000 0.0894062000 0.9100454000 0.0000298560 0.0002420853 0.0002617710 8.9733102224 0.5448987115 9.8580367062 0.8234506413
1.22500 0.0005195000 0.0859143000 0.9135662000 0.0000177967 0.0002837644 0.0002880076 9.3193283039 0.6502224152 10.4008191347 1.2329039151
1.25000 0.0004966000 0.0831091000 0.9163943000 0.0000226087 0.0003232960 0.0003237180 9.7644375454 0.5213617105 10.9498094033 1.0556322909
1.27500 0.0004912000 0.0798534000 0.9196554000 0.0000265405 0.0002444346 0.0002334163 9.9155502525 0.4414092207 11.0131147177 0.9367958398
1.30000 0.0004585000 0.0769691000 0.9225724000 0.0000195860 0.0002854425 0.0002922427 10.1171727504 0.4527862875 11.5907133462 1.2142402993
1.32500 0.0004617000 0.0742571000 0.9252812000 0.0000157906 0.0002546717 0.0002607254 10.3119461565 0.6656401474 11.7473378732 1.3622848803
1.35000 0.0004339000 0.0718123000 0.9277538000 0.0000250264 0.0002594122 0.0002533196 10.5444670655 0.3550044450 11.6846354730 0.8060954638
1.37500 0.0004166000 0.0694712000 0.9301122000 0.0000279253 0.0002338964 0.0002224799 10.5739905476 0.5500955939 12.0052307040 1.0815032570
1.40000 0.0004132000 0.0670869000 0.9324999000 0.0000119238 0.0002493638 0.0002544338 10.9855029705 0.4275505412 12.1560007443 1.0600493750
