#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 100
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9810
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.85000 0.0002504299 0.0085171916 0.0485741078 0.0000031924 0.0000120217 0.0000571328 0.0001268982 0.0000000036 2.0757309841 0.0129720166 0.5772412910 0.0296907488
0.86000 0.0002455668 0.0083395682 0.0477267616 0.0000029043 0.0000097017 0.0000578910 0.0001362016 0.0000000037 2.0736170363 0.0143837591 0.5615613540 0.0244502055
0.87000 0.0002385397 0.0081690670 0.0469462693 0.0000026331 0.0000096175 0.0000586078 0.0001581740 0.0000000033 2.0697397306 0.0130365028 0.5587806235 0.0260772522
0.88000 0.0002380848 0.0079959570 0.0462010964 0.0000025289 0.0000112125 0.0000522986 0.0001530883 0.0000000032 2.0669528504 0.0143037570 0.5485960831 0.0270036114
0.89000 0.0002312119 0.0078180060 0.0454285450 0.0000022949 0.0000104608 0.0000518484 0.0001455621 0.0000000025 2.0641434711 0.0142948088 0.5430985158 0.0263370780
0.90000 0.0002264270 0.0076662803 0.0446787408 0.0000039200 0.0000107006 0.0000565781 0.0001388899 0.0000000045 2.0612736010 0.0128480683 0.5385277426 0.0285976564
0.91000 0.0002229478 0.0075081566 0.0439486366 0.0000035916 0.0000096916 0.0000529169 0.0001429540 0.0000000040 2.0571188496 0.0138249596 0.5282234220 0.0289861239
0.92000 0.0002154171 0.0073501612 0.0432716821 0.0000032801 0.0000097348 0.0000481784 0.0001456269 0.0000000039 2.0571187933 0.0136390889 0.5265542791 0.0278657710
0.93000 0.0002117265 0.0071969556 0.0425842657 0.0000029967 0.0000089886 0.0000423746 0.0001475286 0.0000000036 2.0530906142 0.0146900514 0.5143668307 0.0298993164
0.94000 0.0002074797 0.0070561420 0.0419149877 0.0000028950 0.0000096172 0.0000484299 0.0001353600 0.0000000029 2.0510340478 0.0125634601 0.5123786344 0.0291548765
0.95000 0.0002039989 0.0069166209 0.0412774707 0.0000026459 0.0000087709 0.0000522746 0.0001240476 0.0000000034 2.0495528274 0.0144141329 0.5087901220 0.0308888274
0.96000 0.0001991496 0.0067788440 0.0406004317 0.0000024345 0.0000084324 0.0000491037 0.0001341932 0.0000000029 2.0441289973 0.0131742699 0.5009989260 0.0246262175
0.97000 0.0001960838 0.0066491342 0.0399911197 0.0000043436 0.0000090895 0.0000498759 0.0001267579 0.0000000045 2.0436598258 0.0150806991 0.4960974112 0.0249762254
0.98000 0.0001912211 0.0065188697 0.0393285465 0.0000039994 0.0000092095 0.0000495684 0.0001271278 0.0000000044 2.0391531728 0.0126684630 0.4898722772 0.0323215519
0.99000 0.0001880762 0.0063820473 0.0387397254 0.0000036808 0.0000098989 0.0000494186 0.0001300020 0.0000000038 2.0390786964 0.0149303832 0.4864532281 0.0273386065
1.00000 0.0001842657 0.0062613457 0.0381212868 0.0000035717 0.0000090075 0.0000452789 0.0001316241 0.0000000042 2.0322340783 0.0150860844 0.4751641605 0.0273359524
