#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7002
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.51000 0.0007198900 0.0182204200 0.0928277200 0.8882319700 0.0000271185 0.0001169243 0.0003127123 0.0003412668 2.1977322871 0.0362257525 0.8882279891 0.1018035201
0.52000 0.0007050100 0.0176465300 0.0907143400 0.8909341200 0.0000271530 0.0001369620 0.0002557771 0.0002764225 2.1848041862 0.0325549993 0.8436009093 0.0965228672
0.53000 0.0006876400 0.0170904500 0.0887246400 0.8934972700 0.0000274567 0.0001307857 0.0002907075 0.0002881986 2.1797300363 0.0313247980 0.8344177530 0.0974482244
0.54000 0.0006703600 0.0165919100 0.0868055800 0.8959321500 0.0000251772 0.0001301907 0.0002619540 0.0002904172 2.1717021357 0.0322252460 0.8037735778 0.0959616687
0.55000 0.0006587900 0.0160803800 0.0849796500 0.8982811800 0.0000264584 0.0001302196 0.0002716363 0.0003028552 2.1671501082 0.0331904526 0.8009517083 0.1029135416
0.56000 0.0006466500 0.0156162500 0.0831263700 0.9006107300 0.0000257601 0.0001320966 0.0002502488 0.0002949848 2.1554552113 0.0283614290 0.7705091673 0.0933796407
0.57000 0.0006357900 0.0151665200 0.0813990900 0.9027986000 0.0000254393 0.0001048198 0.0002815720 0.0002799213 2.1561005646 0.0293019406 0.7700637576 0.0954401164
0.58000 0.0006178200 0.0147013500 0.0796794900 0.9050013400 0.0000260824 0.0001291043 0.0002830758 0.0002982306 2.1490493177 0.0290060276 0.7604942314 0.0969965857
0.59000 0.0006024800 0.0142926800 0.0781162900 0.9069885500 0.0000229124 0.0001191540 0.0002636220 0.0002822582 2.1425742320 0.0267476296 0.7236538933 0.0923850204
0.60000 0.0005946400 0.0138971800 0.0764404400 0.9090677400 0.0000232811 0.0001183620 0.0002704458 0.0002929081 2.1346275394 0.0257001166 0.7081544786 0.0873673692
0.61000 0.0005791500 0.0134608200 0.0748985500 0.9110614800 0.0000242180 0.0001088969 0.0002300748 0.0002658676 2.1294054648 0.0305723129 0.6965620621 0.0995682717
0.62000 0.0005665400 0.0130860400 0.0734377500 0.9129096700 0.0000238846 0.0001139732 0.0002549385 0.0002851456 2.1247933293 0.0283881705 0.6796381901 0.0942184624
0.63000 0.0005527600 0.0127055500 0.0718930800 0.9148486100 0.0000210757 0.0001138756 0.0002671126 0.0002944152 2.1225718721 0.0297336276 0.6672614966 0.0927536777
0.64000 0.0005389700 0.0123563100 0.0705745800 0.9165301400 0.0000217471 0.0001281957 0.0002231669 0.0002492227 2.1165289704 0.0278182585 0.6500334228 0.0898006616
0.65000 0.0005309300 0.0120009700 0.0691404800 0.9183276200 0.0000232171 0.0001115709 0.0002386904 0.0002731648 2.1179581307 0.0280596743 0.6574579158 0.1010828802
0.66000 0.0005220400 0.0116613100 0.0678519700 0.9199646800 0.0000232409 0.0000995964 0.0002539844 0.0002652332 2.1081977312 0.0270225430 0.6306757353 0.0871125889
0.67000 0.0005111600 0.0113441000 0.0664950000 0.9216497400 0.0000221614 0.0001153022 0.0002287541 0.0002588733 2.1050855967 0.0270853829 0.6215014643 0.0883959199
0.68000 0.0005019800 0.0110367600 0.0651834600 0.9232778000 0.0000206828 0.0001070492 0.0002160407 0.0002389441 2.0978401129 0.0273311350 0.5986795119 0.0911372031
0.69000 0.0004853600 0.0107291900 0.0640194000 0.9247660500 0.0000221572 0.0001040301 0.0002259678 0.0002523867 2.1014528819 0.0251255174 0.6173121216 0.0886082608
0.70000 0.0004773000 0.0104318100 0.0628188100 0.9262720800 0.0000216695 0.0001084057 0.0002422734 0.0002696719 2.0981905684 0.0296757837 0.6038376017 0.1062085178
0.71000 0.0004659300 0.0101425100 0.0616300700 0.9277614900 0.0000226298 0.0001053956 0.0002523050 0.0002871683 2.0904449375 0.0284284707 0.5718977207 0.1048941991
0.72000 0.0004564000 0.0098511200 0.0605008000 0.9291916800 0.0000233398 0.0001045812 0.0002229400 0.0002548425 2.0850759455 0.0263724066 0.5624240367 0.0960361883
0.73000 0.0004496200 0.0095910600 0.0594034200 0.9305559000 0.0000202469 0.0001054028 0.0002347796 0.0002625322 2.0858733829 0.0252043391 0.5651743337 0.0939600255
0.74000 0.0004366900 0.0093457200 0.0583344300 0.9318831600 0.0000185253 0.0000981700 0.0002184317 0.0002627119 2.0757463347 0.0255552977 0.5262586770 0.0857718163
0.75000 0.0004297900 0.0090929500 0.0572519900 0.9332252700 0.0000224375 0.0001015810 0.0002522199 0.0002613250 2.0788247034 0.0258965333 0.5387211244 0.0890994838
