#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1e-06
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha_s-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9800
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.17000 0.0016630047 0.0670823426 0.2577694397 0.0000035657 0.0001368653 0.0008433242 0.0012028372 0.0000000092 3.1362599195 0.2426473844 2.7968033282 0.5120717352
0.18000 0.0016276707 0.0637776543 0.2473787094 0.0000034346 0.0001358668 0.0007449808 0.0014543421 0.0000000084 2.9556007945 0.2494138361 2.5453676078 0.4644548363
0.19000 0.0015786704 0.0609326296 0.2372892964 0.0000033159 0.0001067299 0.0005653116 0.0016622088 0.0000000085 2.9099720431 0.1802738686 2.3997323476 0.3836720244
0.20000 0.0015183372 0.0580266081 0.2281842272 0.0000032062 0.0001134133 0.0006857110 0.0013004207 0.0000000095 2.8457730943 0.1737847533 2.2601597836 0.3383378758
0.21000 0.0014256702 0.0552825921 0.2194168350 0.0000031019 0.0001165802 0.0007196013 0.0010611724 0.0000000060 2.8516904280 0.2065915337 2.2185238570 0.4744171253
0.22000 0.0014756700 0.0525615730 0.2110957926 0.0000030067 0.0000985297 0.0006618947 0.0013815094 0.0000000075 2.7479222733 0.1621064400 2.0602595132 0.3929338375
0.23000 0.0014133370 0.0504948940 0.2035037390 0.0000029131 0.0001444449 0.0006319590 0.0013741446 0.0000000061 2.7087774186 0.1528407327 1.9452935103 0.3754576629
0.24000 0.0013783367 0.0485198796 0.1961366947 0.0000028280 0.0001255080 0.0005816751 0.0016250542 0.0000000056 2.6553450341 0.1379798743 1.8651376876 0.3002232832
0.25000 0.0013873366 0.0462131981 0.1897306567 0.0000027454 0.0001470621 0.0006121546 0.0012133655 0.0000000046 2.6337905051 0.1699596333 1.8968773170 0.4409949643
0.26000 0.0013276697 0.0443998588 0.1832212919 0.0000026682 0.0001047389 0.0005463511 0.0012104592 0.0000000054 2.6089132405 0.1375685194 1.7498644129 0.3008025350
0.27000 0.0012666696 0.0426555103 0.1770299215 0.0000025971 0.0000881350 0.0005718251 0.0012603168 0.0000000047 2.6077514199 0.1474719475 1.7252887010 0.3439484396
0.28000 0.0012396697 0.0408221673 0.1713818912 0.0000025279 0.0001225441 0.0004878289 0.0009298412 0.0000000044 2.5404479641 0.1596104469 1.6300479804 0.3814227222
0.29000 0.0012230026 0.0392214917 0.1657411949 0.0000024637 0.0001235997 0.0006102406 0.0008629630 0.0000000047 2.5052918446 0.1538230482 1.6133475067 0.3987033110
0.30000 0.0011676696 0.0376878158 0.1613444995 0.0000024002 0.0001387300 0.0006531866 0.0012407571 0.0000000046 2.4881733550 0.1484441401 1.5011651466 0.3778162247
0.31000 0.0011566693 0.0362394760 0.1561638092 0.0000023419 0.0001129639 0.0005570664 0.0010514073 0.0000000037 2.4286734583 0.1164979910 1.4057014597 0.3071616277
0.32000 0.0011163355 0.0350471348 0.1514831179 0.0000022855 0.0000875520 0.0005560674 0.0010263012 0.0000000039 2.4433911153 0.1194922815 1.4586845987 0.3714753235
0.33000 0.0011090023 0.0336637932 0.1469684314 0.0000022319 0.0000882534 0.0005914284 0.0009407425 0.0000000042 2.4540113634 0.1378568027 1.3976761525 0.2869755851
0.34000 0.0010633356 0.0323667871 0.1428867467 0.0000021805 0.0001192888 0.0005102634 0.0010968133 0.0000000045 2.3595213054 0.1054435661 1.2564378083 0.2673751747
0.35000 0.0010503356 0.0313171166 0.1393470600 0.0000021295 0.0000975381 0.0004347571 0.0010448535 0.0000000036 2.4239638173 0.1232141019 1.4100876936 0.2881882628
