#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 1000000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1002
#
#alpha <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.54000 0.0057364500 0.0564499500 0.9378136000 0.0000995989 0.0002467576 0.0002582185 2.4470680203 0.0165444268 1.2309281859 0.0284405556
0.55000 0.0055668000 0.0546815500 0.9397516500 0.0000837820 0.0002299619 0.0002579635 2.4235505991 0.0138494305 1.1983473323 0.0288881378
0.56000 0.0054553000 0.0530672500 0.9414774500 0.0000705558 0.0002145151 0.0002153613 2.4132265037 0.0164060251 1.1841652046 0.0303140286
0.57000 0.0053097500 0.0516004500 0.9430898000 0.0000777884 0.0001736835 0.0001741232 2.3973348662 0.0166446029 1.1611017515 0.0326249884
0.58000 0.0052050000 0.0500654500 0.9447295500 0.0000674662 0.0002291808 0.0002163780 2.3865544505 0.0124243412 1.1318971037 0.0291285056
0.59000 0.0050926500 0.0485094000 0.9463979500 0.0000592037 0.0001966837 0.0002122807 2.3735394464 0.0177094622 1.1154915479 0.0338434981
0.60000 0.0049547000 0.0472023000 0.9478430000 0.0000719006 0.0002194146 0.0002249267 2.3599182631 0.0189176545 1.0899224365 0.0329325919
0.61000 0.0048393500 0.0458524000 0.9493082500 0.0000711346 0.0001870160 0.0002136029 2.3407947700 0.0180904226 1.0599747515 0.0371789873
0.62000 0.0047691500 0.0445099500 0.9507209000 0.0000718070 0.0002558508 0.0002649325 2.3337965747 0.0143637056 1.0574483432 0.0333940577
0.63000 0.0046068500 0.0432960500 0.9520971000 0.0000620673 0.0002682969 0.0002825068 2.3273600253 0.0146384854 1.0404653230 0.0324646536
0.64000 0.0045193000 0.0420433500 0.9534373500 0.0000446343 0.0002146086 0.0002236608 2.3135540350 0.0131830017 1.0220218060 0.0324628683
0.65000 0.0043732000 0.0408432500 0.9547835500 0.0000690755 0.0001902148 0.0001731739 2.3036235337 0.0127556748 1.0062273072 0.0278063946
0.66000 0.0042983000 0.0396590000 0.9560427000 0.0000557741 0.0001827731 0.0001915519 2.2955878777 0.0156938233 0.9858826701 0.0342772615
0.67000 0.0041787000 0.0386388000 0.9571825000 0.0000721439 0.0001389856 0.0001383065 2.2854891284 0.0131150844 0.9689728006 0.0355036950
0.68000 0.0041036500 0.0375995500 0.9582968000 0.0000640323 0.0001947829 0.0002035112 2.2712641588 0.0185806541 0.9428095931 0.0427861914
0.69000 0.0040109000 0.0364981000 0.9594910000 0.0000590583 0.0001849239 0.0001865817 2.2715971361 0.0143678074 0.9465664299 0.0380052860
0.70000 0.0039117000 0.0354997500 0.9605885500 0.0000769888 0.0002274219 0.0002348952 2.2606350113 0.0117866803 0.9256096723 0.0243873616
0.71000 0.0038096000 0.0346254000 0.9615650000 0.0000476427 0.0001909804 0.0001877395 2.2453711764 0.0095744895 0.8956710472 0.0211564770
0.72000 0.0037468000 0.0336424000 0.9626108000 0.0000657824 0.0001421853 0.0001797878 2.2443912714 0.0137908688 0.8913726288 0.0311440157
0.73000 0.0036378500 0.0326851000 0.9636770500 0.0000586805 0.0001942299 0.0002162840 2.2318731262 0.0133659536 0.8806272436 0.0287606653
0.74000 0.0035736500 0.0318591500 0.9645672000 0.0000441114 0.0001680201 0.0001829108 2.2251540475 0.0182773571 0.8625139209 0.0370377136
0.75000 0.0035009500 0.0309679000 0.9655311500 0.0000508387 0.0001612053 0.0001507927 2.2193035497 0.0138889749 0.8458330916 0.0304149873
0.76000 0.0034171000 0.0302038500 0.9663790500 0.0000437864 0.0001726759 0.0001848167 2.2123648238 0.0138194550 0.8369774379 0.0331222817
0.77000 0.0033414000 0.0293794000 0.9672792000 0.0000623035 0.0001641929 0.0001761144 2.2056164675 0.0136450048 0.8231714381 0.0324976519
0.78000 0.0032680000 0.0286766000 0.9680554000 0.0000446436 0.0001396738 0.0001441934 2.2010078806 0.0139944512 0.8199013903 0.0367702774
0.79000 0.0031829500 0.0278318500 0.9689852000 0.0000556979 0.0001385456 0.0001552626 2.1947055492 0.0115950289 0.8023545290 0.0343857607
0.80000 0.0031173500 0.0270689500 0.9698137000 0.0000528665 0.0001476470 0.0001505422 2.1847224198 0.0113037222 0.7850177482 0.0251517877
0.81000 0.0030591500 0.0263865500 0.9705543000 0.0000519446 0.0001676724 0.0001752013 2.1793699243 0.0116740392 0.7773726632 0.0241125898
0.82000 0.0029778000 0.0257816500 0.9712405500 0.0000752313 0.0001485808 0.0001602772 2.1745562663 0.0125490699 0.7627390218 0.0237245932
0.83000 0.0029336500 0.0251576500 0.9719087000 0.0000477298 0.0001349675 0.0001495816 2.1645823282 0.0122056630 0.7419883853 0.0356812919
0.84000 0.0028611000 0.0244463500 0.9726925500 0.0000488153 0.0001412639 0.0001454259 2.1697286640 0.0146320651 0.7595279849 0.0302084022
0.85000 0.0028071000 0.0238128500 0.9733800500 0.0000438597 0.0001302893 0.0001235588 2.1571382827 0.0123492805 0.7268950997 0.0273843020
0.86000 0.0027418500 0.0232341500 0.9740240000 0.0000522537 0.0001376580 0.0001718950 2.1480405431 0.0132385011 0.7101571902 0.0263631870
0.87000 0.0026809500 0.0226235000 0.9746955500 0.0000496190 0.0001753581 0.0001786350 2.1473094320 0.0125169242 0.7114643452 0.0228830293
0.88000 0.0026268500 0.0220130500 0.9753601000 0.0000445590 0.0001668493 0.0001640853 2.1453098926 0.0117072261 0.7084121518 0.0276078659
0.89000 0.0025702000 0.0214987000 0.9759311000 0.0000450889 0.0001652370 0.0001919761 2.1367576384 0.0095875206 0.6889040545 0.0247633837
0.90000 0.0024979500 0.0209219500 0.9765801000 0.0000629365 0.0001120937 0.0001347778 2.1310328307 0.0149425366 0.6758527915 0.0322323013
0.91000 0.0024674500 0.0205055500 0.9770270000 0.0000569944 0.0001646369 0.0001922523 2.1265423300 0.0163676945 0.6723023012 0.0350624014
0.92000 0.0023904500 0.0198525000 0.9777570500 0.0000463357 0.0001276947 0.0001300605 2.1193818305 0.0126747959 0.6541172642 0.0266383989
0.93000 0.0023488000 0.0194179000 0.9782333000 0.0000490849 0.0001384877 0.0001375462 2.1134381150 0.0177631993 0.6392442271 0.0469902813
0.94000 0.0023018000 0.0188982000 0.9788000000 0.0000432929 0.0001190328 0.0001312960 2.1130486313 0.0122868545 0.6409550176 0.0319829079
0.95000 0.0022522500 0.0185014500 0.9792463000 0.0000457969 0.0001176330 0.0001276414 2.1053826179 0.0130744832 0.6197177905 0.0330097272
0.96000 0.0021940500 0.0180146500 0.9797913000 0.0000429620 0.0001155797 0.0001149224 2.1083263024 0.0159022649 0.6265768279 0.0363419035
0.97000 0.0021513000 0.0175073500 0.9803413500 0.0000523632 0.0001333666 0.0001531172 2.1001994160 0.0122487884 0.6092119204 0.0234369109
0.98000 0.0021197500 0.0171218500 0.9807584000 0.0000468737 0.0001310083 0.0001527331 2.0998377822 0.0092928581 0.6080368618 0.0261695849
0.99000 0.0020785000 0.0167197500 0.9812017500 0.0000483316 0.0001150597 0.0001257930 2.0967071597 0.0117165764 0.6111250075 0.0293542206
1.00000 0.0020143500 0.0163331500 0.9816525000 0.0000364392 0.0001062189 0.0001094914 2.0938179810 0.0160617932 0.5975902094 0.0403999130
1.01000 0.0019757500 0.0158690500 0.9821552000 0.0000308014 0.0001283193 0.0001343642 2.0880615004 0.0103526396 0.5907564477 0.0235840387
1.02000 0.0019519000 0.0155376000 0.9825105000 0.0000322978 0.0000950670 0.0001006597 2.0874761216 0.0128213903 0.5906317400 0.0288317919
1.03000 0.0018928500 0.0151611500 0.9829460000 0.0000368000 0.0001366152 0.0001417110 2.0776480193 0.0183211395 0.5671238451 0.0482639722
1.04000 0.0018632500 0.0148023500 0.9833344000 0.0000395459 0.0001148451 0.0001298969 2.0697125295 0.0139744154 0.5514471661 0.0330218820
