#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1001
#
#alpha <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.52000 0.0007516500 0.0202282500 0.9790201000 0.0000233763 0.0001370028 0.0001420296 2.2481849989 0.0436502817 1.0116578635 0.1220725381
0.53000 0.0007387500 0.0196126500 0.9796486000 0.0000207843 0.0001104256 0.0001100519 2.2434597159 0.0370378350 0.9849230335 0.0985797749
0.54000 0.0007095500 0.0189802000 0.9803102500 0.0000268553 0.0001352431 0.0001326169 2.2283262470 0.0365904242 0.9318741518 0.1040446555
0.55000 0.0007014000 0.0183641000 0.9809345000 0.0000253904 0.0001541629 0.0001541607 2.2152900785 0.0230630641 0.9271010999 0.0700469971
0.56000 0.0006776000 0.0177590500 0.9815633500 0.0000270543 0.0001116694 0.0001114622 2.2091747498 0.0392885818 0.8965033563 0.1084119584
0.57000 0.0006696500 0.0172552500 0.9820751000 0.0000219743 0.0001276953 0.0001276590 2.2023112866 0.0293843266 0.8651136673 0.0753888587
0.58000 0.0006496000 0.0167019000 0.9826485000 0.0000284631 0.0001470775 0.0001424579 2.1794426879 0.0313759580 0.8532435845 0.0919349961
0.59000 0.0006382500 0.0161856000 0.9831761500 0.0000221642 0.0001368689 0.0001443983 2.1889075356 0.0369529806 0.8621782029 0.1009627029
0.60000 0.0006299000 0.0157818500 0.9835882500 0.0000271175 0.0001212563 0.0001301197 2.1850425679 0.0226195720 0.8171210287 0.0716542427
0.61000 0.0006131500 0.0152153500 0.9841715000 0.0000244374 0.0001366464 0.0001362940 2.1688331944 0.0370307098 0.8138317414 0.1160532143
0.62000 0.0005928500 0.0148006000 0.9846065500 0.0000199533 0.0001186957 0.0001208307 2.1652929362 0.0292702733 0.7888265511 0.0915733462
0.63000 0.0005802500 0.0143842000 0.9850355500 0.0000255485 0.0001429805 0.0001427845 2.1581464658 0.0327785102 0.7890351298 0.1170719193
0.64000 0.0005705000 0.0139574500 0.9854720500 0.0000214513 0.0001298426 0.0001337006 2.1461694671 0.0342451144 0.7488243669 0.1055091986
0.65000 0.0005626000 0.0135108500 0.9859265500 0.0000212687 0.0001122991 0.0001134922 2.1396015427 0.0327212136 0.7373969145 0.1440831767
0.66000 0.0005481500 0.0131514000 0.9863004500 0.0000234010 0.0000949678 0.0000982823 2.1448358041 0.0283470991 0.7217618221 0.0850394933
0.67000 0.0005353500 0.0127467000 0.9867179500 0.0000180621 0.0000927884 0.0000958466 2.1298629351 0.0334999127 0.6983855467 0.1223777311
0.68000 0.0005361500 0.0123761500 0.9870877000 0.0000313743 0.0000942395 0.0001055976 2.1289109401 0.0304136847 0.6782969057 0.1083154421
0.69000 0.0005163500 0.0120127500 0.9874709000 0.0000248983 0.0001127685 0.0001261928 2.1257893170 0.0240460818 0.6970489882 0.0984314482
0.70000 0.0005079500 0.0117093000 0.9877827500 0.0000196749 0.0001046926 0.0001088117 2.1254430309 0.0302413481 0.6900134032 0.1129421571
0.71000 0.0004931500 0.0113169000 0.9881899500 0.0000162198 0.0001250835 0.0001254736 2.1130471310 0.0328506473 0.6236117320 0.1100234958
0.72000 0.0004839500 0.0110630500 0.9884530000 0.0000212491 0.0001356701 0.0001329650 2.1179235831 0.0296971740 0.6702874450 0.0964541173
0.73000 0.0004703500 0.0106987000 0.9888309500 0.0000205151 0.0001067555 0.0000996042 2.1076871098 0.0281533389 0.6338263821 0.1139509487
0.74000 0.0004600000 0.0104748500 0.9890651500 0.0000218343 0.0000905662 0.0000969271 2.1140686887 0.0303618801 0.6345495523 0.1044186878
0.75000 0.0004546000 0.0101407000 0.9894047000 0.0000249977 0.0001065675 0.0001039423 2.0924118279 0.0295116815 0.5598914309 0.0961817429
0.76000 0.0004421000 0.0098711500 0.9896867500 0.0000195903 0.0000904732 0.0000884932 2.1000590697 0.0228703858 0.5950138789 0.1030253592
0.77000 0.0004321000 0.0095678000 0.9900001000 0.0000225293 0.0000959740 0.0000916744 2.0926345482 0.0275340154 0.5631430604 0.0848247196
0.78000 0.0004416500 0.0093204000 0.9902379500 0.0000172940 0.0000950675 0.0001015001 2.0899372266 0.0240753601 0.5748653282 0.0861677312
0.79000 0.0004203000 0.0090569500 0.9905227500 0.0000159707 0.0000882571 0.0000857578 2.0966413233 0.0278980033 0.5993866872 0.1054294844
0.80000 0.0004076000 0.0088029000 0.9907895000 0.0000185001 0.0001338754 0.0001349992 2.0949943427 0.0329761537 0.5855862577 0.1158953682
0.81000 0.0004064500 0.0085818500 0.9910117000 0.0000200538 0.0000780474 0.0000795739 2.0785267607 0.0324886083 0.5290327720 0.1045711264
0.82000 0.0003891500 0.0083622500 0.9912486000 0.0000241231 0.0000980703 0.0000907863 2.0738843476 0.0256961221 0.5083591768 0.0816503459
0.83000 0.0003819500 0.0081480000 0.9914700500 0.0000181644 0.0000978135 0.0000937435 2.0818146289 0.0264589195 0.5453244896 0.0878554538
0.84000 0.0003735500 0.0079163500 0.9917101000 0.0000155173 0.0001104547 0.0001170200 2.0694996659 0.0285489635 0.5131606462 0.1064483145
0.85000 0.0003672000 0.0077191500 0.9919136500 0.0000199040 0.0000738158 0.0000806130 2.0777677507 0.0207972676 0.5510950309 0.1263265483
0.86000 0.0003631500 0.0075278500 0.9921090000 0.0000179862 0.0000705507 0.0000726651 2.0627164235 0.0217957721 0.4855044541 0.0824494266
0.87000 0.0003563500 0.0073031500 0.9923405000 0.0000179393 0.0000791622 0.0000831356 2.0643925549 0.0289690372 0.4874129356 0.0951570426
0.88000 0.0003435500 0.0071325000 0.9925239500 0.0000159950 0.0000653931 0.0000662662 2.0644280911 0.0272898865 0.5141332459 0.1200796630
0.89000 0.0003306500 0.0069322000 0.9927371500 0.0000139521 0.0000878285 0.0000911305 2.0576938574 0.0312635658 0.4618245357 0.1300375619
0.90000 0.0003330500 0.0067729000 0.9928940500 0.0000186420 0.0000691907 0.0000699146 2.0679974091 0.0220462265 0.5197252284 0.0973611836
0.91000 0.0003258500 0.0066283000 0.9930458500 0.0000187147 0.0000669738 0.0000696474 2.0595852938 0.0251413729 0.4904069284 0.1091972659
0.92000 0.0003233000 0.0064241500 0.9932525500 0.0000146865 0.0000563348 0.0000661079 2.0577366982 0.0254740670 0.4578073350 0.0894932206
0.93000 0.0003154500 0.0062706000 0.9934139500 0.0000208969 0.0000741246 0.0000767131 2.0512951007 0.0212834997 0.4486575319 0.0940261080
0.94000 0.0003075500 0.0060836500 0.9936088000 0.0000189500 0.0000628409 0.0000635838 2.0412687413 0.0227587745 0.4037500490 0.0791520760
0.95000 0.0003012000 0.0059131000 0.9937857000 0.0000183119 0.0000653315 0.0000638403 2.0461182157 0.0321659448 0.4316198327 0.1130120574
0.96000 0.0002854000 0.0057852500 0.9939293500 0.0000115777 0.0000849352 0.0000841723 2.0535601779 0.0274983518 0.4352227875 0.0880741639
0.97000 0.0002934500 0.0056388500 0.9940677000 0.0000156994 0.0000765818 0.0000775901 2.0556739713 0.0341703652 0.4461506107 0.0976221191
0.98000 0.0002778500 0.0054616000 0.9942605500 0.0000172391 0.0000675164 0.0000680089 2.0452996042 0.0245303875 0.4232856917 0.1085308674
0.99000 0.0002733500 0.0053367000 0.9943899500 0.0000116631 0.0000829630 0.0000859458 2.0447148614 0.0221251590 0.4445347559 0.1378311161
1.00000 0.0002747000 0.0052178500 0.9945074500 0.0000166863 0.0000699874 0.0000724027 2.0508018619 0.0336288895 0.4455422031 0.1383059931
1.01000 0.0002617500 0.0050915000 0.9946467500 0.0000136878 0.0000616002 0.0000603236 2.0358890034 0.0245905743 0.3975619628 0.0990563350
1.02000 0.0002605500 0.0049675000 0.9947719500 0.0000167127 0.0000867850 0.0000947120 2.0303787940 0.0237334289 0.3660790126 0.0951723469
1.03000 0.0002528000 0.0048366000 0.9949106000 0.0000180922 0.0000574607 0.0000604626 2.0312416920 0.0198607780 0.3652260345 0.0819057121
1.04000 0.0002532500 0.0047301500 0.9950166000 0.0000190536 0.0000449787 0.0000486658 2.0291812172 0.0240660310 0.3526430675 0.0953669063
