#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.3
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1002
#
#alpha <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.25000 0.0149630000 0.2287765000 0.7562605000 0.0003958748 0.0012569356 0.0013422114 2.7241651234 0.0731907161 2.3805358777 0.1083625951
0.26000 0.0145235000 0.2212580000 0.7642185000 0.0002646602 0.0014668427 0.0014683585 2.6753645139 0.0599444372 2.3266804725 0.0844004110
0.27000 0.0141205000 0.2142845000 0.7715950000 0.0003018971 0.0011107204 0.0009813498 2.5919374338 0.0613988584 2.2115665979 0.0825736234
0.28000 0.0138070000 0.2073010000 0.7788920000 0.0004046974 0.0017705274 0.0019484261 2.5512886305 0.0598260597 2.1788421964 0.0947129242
0.29000 0.0134040000 0.2013975000 0.7851985000 0.0004109732 0.0014042150 0.0016078272 2.5299481425 0.0533415496 2.1446231283 0.0771446639
0.30000 0.0131510000 0.1953015000 0.7915475000 0.0004122582 0.0012397677 0.0011646408 2.4799675531 0.0501103361 2.0732028857 0.0945802065
0.31000 0.0127420000 0.1890430000 0.7982150000 0.0003467534 0.0012777904 0.0012756402 2.4178651384 0.0614083164 2.0127018871 0.1019195278
0.32000 0.0125030000 0.1832565000 0.8042405000 0.0004581783 0.0015062825 0.0015491100 2.3683635405 0.0469495381 1.9568285295 0.0793887238
0.33000 0.0121940000 0.1776545000 0.8101515000 0.0003822840 0.0008279745 0.0010037838 2.3461443086 0.0623180511 1.9125707510 0.1050698831
0.34000 0.0117760000 0.1725135000 0.8157105000 0.0002083620 0.0010669597 0.0010119365 2.3241689965 0.0434187211 1.8957914055 0.0982865143
0.35000 0.0116115000 0.1682150000 0.8201735000 0.0002870590 0.0013137271 0.0014359309 2.2787404283 0.0619100430 1.8395911898 0.0891861885
0.36000 0.0112730000 0.1627965000 0.8259305000 0.0003965257 0.0011556146 0.0012854754 2.2367857218 0.0649311725 1.7761628375 0.0868619059
0.37000 0.0110560000 0.1587385000 0.8302055000 0.0002665846 0.0011537047 0.0012082152 2.2141270937 0.0748300379 1.7584001181 0.1093319705
0.38000 0.0109465000 0.1545340000 0.8345195000 0.0003669400 0.0012303975 0.0012845867 2.2062274853 0.0653913905 1.7612408531 0.1007212892
0.39000 0.0106940000 0.1496665000 0.8396395000 0.0003037901 0.0013638733 0.0013310758 2.1472649363 0.0618793560 1.6741972305 0.1045169285
0.40000 0.0102420000 0.1463555000 0.8434025000 0.0003384578 0.0008972618 0.0009830665 2.1344119810 0.0377917528 1.6645216462 0.0665897348
0.41000 0.0102305000 0.1417760000 0.8479935000 0.0003542743 0.0010162335 0.0009984265 2.1071050659 0.0437268843 1.6435339445 0.0885588837
0.42000 0.0099220000 0.1386490000 0.8514290000 0.0002753868 0.0008193765 0.0008791377 2.0528661957 0.0606641392 1.5436038118 0.1082905823
0.43000 0.0096560000 0.1351750000 0.8551690000 0.0003180599 0.0008336066 0.0008417082 2.0687207537 0.0643067649 1.5679194398 0.1058532179
0.44000 0.0095710000 0.1318990000 0.8585300000 0.0002403046 0.0013870336 0.0013829602 2.0333187675 0.0516236236 1.5290706546 0.0779489128
0.45000 0.0093365000 0.1285900000 0.8620735000 0.0003352654 0.0011388498 0.0012587558 2.0154550457 0.0575602520 1.5130648631 0.0832827926
0.46000 0.0091225000 0.1254110000 0.8654665000 0.0002890069 0.0008934610 0.0009448880 1.9685094652 0.0458774479 1.4644956658 0.0991658325
0.47000 0.0089360000 0.1222025000 0.8688615000 0.0002901615 0.0008928834 0.0009903709 1.9752738229 0.0442459267 1.4671982605 0.0758654495
0.48000 0.0087270000 0.1189515000 0.8723215000 0.0003134880 0.0010403859 0.0011203678 1.9584228686 0.0616744016 1.4322140940 0.0900766835
0.49000 0.0086550000 0.1164420000 0.8749030000 0.0002958929 0.0010344111 0.0010868017 1.9329610815 0.0560691563 1.3991076730 0.0809626250
0.50000 0.0082995000 0.1136950000 0.8780055000 0.0002608786 0.0008300127 0.0008995875 1.9002670247 0.0495881749 1.3570968271 0.0873807818
0.51000 0.0082270000 0.1105700000 0.8812030000 0.0003087854 0.0012749200 0.0012372555 1.9000419915 0.0561722723 1.3562891904 0.1007556942
0.52000 0.0081895000 0.1080090000 0.8838015000 0.0002952336 0.0007097138 0.0007737487 1.8708292653 0.0458295171 1.3433274719 0.0838961858
0.53000 0.0080895000 0.1054715000 0.8864390000 0.0003344827 0.0007021117 0.0006690992 1.8614038480 0.0457456562 1.3109720130 0.0803662478
0.54000 0.0079155000 0.1035465000 0.8885380000 0.0002431693 0.0009669391 0.0009315782 1.8497774229 0.0513627610 1.2925777585 0.0846603801
0.55000 0.0077955000 0.1007900000 0.8914145000 0.0003357705 0.0008999942 0.0009171321 1.8233728589 0.0491763322 1.2465620150 0.0825739149
0.56000 0.0074640000 0.0986840000 0.8938520000 0.0002961756 0.0009331181 0.0009543617 1.8107032745 0.0482683911 1.2299550176 0.0794152942
0.57000 0.0072880000 0.0964785000 0.8962335000 0.0002216351 0.0008576914 0.0008956225 1.7894452409 0.0391530141 1.1985638802 0.0795311811
