#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 4
#Number of alpha_s-values: N_alpha_s = 40
#Delta alpha_s: d_alpha_s = 0.1
#Seed: 19003
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
1.70000 0.0051125000 0.6071900000 0.3876975000 0.0000000000 0.0002475715 0.0010928251 0.0010234704 0.0000000000 25.7262254835 0.7280032189 25.4760556137 1.3529637892
1.80000 0.0053725000 0.6071700000 0.3874575000 0.0000000000 0.0002142234 0.0012431412 0.0014163892 0.0000000000 26.0609954504 1.2033614709 26.2275398384 2.0025777621
1.90000 0.0055025000 0.6067100000 0.3877875000 0.0000000000 0.0001577709 0.0014882428 0.0014383874 0.0000000000 25.8815208985 1.1188009222 26.2154832830 2.6028300228
2.00000 0.0048775000 0.6086450000 0.3864775000 0.0000000000 0.0001934554 0.0006036831 0.0007606302 0.0000000000 26.7016334154 0.2944401550 25.4103790926 1.4078233695
2.10000 0.0051650000 0.6070875000 0.3877475000 0.0000000000 0.0000971253 0.0009552443 0.0009737000 0.0000000000 26.9450663839 1.1011645558 27.7536070010 0.7462419015
2.20000 0.0051450000 0.6085925000 0.3862625000 0.0000000000 0.0003462658 0.0017276839 0.0018744310 0.0000000000 27.3364883848 1.9644782248 26.7879286253 1.8328130520
2.30000 0.0052400000 0.6090325000 0.3857250000 0.0000000000 0.0001542725 0.0011867989 0.0013060245 0.0000000000 26.3428503027 0.6054512536 25.8679845366 1.5278357091
2.40000 0.0050425000 0.6093900000 0.3855675000 0.0000000000 0.0001192686 0.0019729335 0.0018947185 0.0000000000 27.2286672207 0.6778721911 27.6839720148 1.6241642786
2.50000 0.0051850000 0.6097150000 0.3850975000 0.0000000000 0.0000834666 0.0019903350 0.0020136431 0.0000000000 26.9289955810 1.0271681800 26.6909095786 1.5841641867
2.60000 0.0051350000 0.6099500000 0.3849150000 0.0000000000 0.0001782321 0.0009316652 0.0010769865 0.0000000000 26.4304069872 1.0297027094 25.6182470670 0.5443524642
2.70000 0.0051700000 0.6090300000 0.3858000000 0.0000000000 0.0000844591 0.0018310835 0.0017918891 0.0000000000 27.3731832784 1.4350165638 27.0081966004 1.8850354444
2.80000 0.0052500000 0.6105850000 0.3841625000 0.0000000000 0.0003697747 0.0010822969 0.0010794250 0.0000000000 26.8838170012 1.3008795681 27.5146078605 0.5837258024
2.90000 0.0050325000 0.6108775000 0.3840875000 0.0000000000 0.0001711481 0.0023028877 0.0021709656 0.0000000000 26.7680968488 1.1175761885 26.7504169593 1.2721855533
3.00000 0.0050950000 0.6102025000 0.3847000000 0.0000000000 0.0000341565 0.0014273373 0.0014592692 0.0000000000 27.3278413836 0.7768189415 27.4568708929 1.6014472474
3.10000 0.0049250000 0.6095475000 0.3855150000 0.0000000000 0.0003900855 0.0007365403 0.0004314704 0.0000000000 25.5163894523 1.5691382742 25.5991404339 1.7410965756
3.20000 0.0051025000 0.6105125000 0.3843700000 0.0000000000 0.0001579821 0.0011717899 0.0013347909 0.0000000000 27.0396261256 1.3882410876 27.6230665742 1.1963315483
3.30000 0.0051850000 0.6111600000 0.3836425000 0.0000000000 0.0001034408 0.0010216653 0.0009335372 0.0000000000 27.6168537582 0.5866568881 28.5052133111 0.9991678597
3.40000 0.0049825000 0.6119275000 0.3830575000 0.0000000000 0.0000750000 0.0007539397 0.0006840261 0.0000000000 28.7742211624 0.3431029120 27.9015366664 1.4968224542
3.50000 0.0049225000 0.6128975000 0.3821475000 0.0000000000 0.0002971391 0.0002223173 0.0001774589 0.0000000000 27.8203553392 0.4184334474 29.0762181848 1.5452970830
